training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
349 1.78344e+00 1.31240e+00
350 1.91995e+00 1.31233e+00
351 1.78419e+00 1.31228e+00
352 1.84358e+00 1.31223e+00
353 1.91164e+00 1.31216e+00
354 1.81805e+00 1.31210e+00
355 1.87415e+00 1.31206e+00
356 1.81434e+00 1.31198e+00
357 1.85658e+00 1.31192e+00
358 1.87055e+00 1.31186e+00
359 1.74328e+00 1.31182e+00
360 1.87901e+00 1.31177e+00
361 1.76587e+00 1.31171e+00
362 1.91124e+00 1.31167e+00
363 1.86800e+00 1.31163e+00
364 1.86474e+00 1.31160e+00
365 1.80308e+00 1.31155e+00
366 1.91064e+00 1.31149e+00
367 1.79698e+00 1.31144e+00
368 1.93875e+00 1.31139e+00
369 1.77105e+00 1.31134e+00
370 1.74759e+00 1.31129e+00
371 1.76510e+00 1.31122e+00
372 1.82770e+00 1.31116e+00
373 1.88371e+00 1.31111e+00
374 1.86514e+00 1.31104e+00
375 1.79242e+00 1.31099e+00
376 1.96482e+00 1.31094e+00
377 1.75794e+00 1.31090e+00
378 1.79488e+00 1.31087e+00
379 1.81325e+00 1.31084e+00
380 1.77748e+00 1.31080e+00
381 1.89034e+00 1.31073e+00
382 1.74086e+00 1.31069e+00
383 1.83648e+00 1.31066e+00
384 1.79201e+00 1.31063e+00
385 1.87603e+00 1.31057e+00
386 1.89512e+00 1.31051e+00
387 1.85914e+00 1.31046e+00
388 1.75780e+00 1.31043e+00
389 1.86109e+00 1.31039e+00
390 1.84125e+00 1.31032e+00
391 1.80060e+00 1.31028e+00
392 1.77006e+00 1.31027e+00
393 1.89458e+00 1.31022e+00
394 1.75865e+00 1.31017e+00
395 1.81281e+00 1.31014e+00
396 1.86537e+00 1.31010e+00
397 1.81921e+00 1.31005e+00
398 1.86481e+00 1.30998e+00
399 1.82682e+00 1.30993e+00
400 1.80193e+00 1.30989e+00
401 1.74691e+00 1.30986e+00
402 1.68055e+00 1.30981e+00
403 1.85564e+00 1.30976e+00
404 1.86192e+00 1.30973e+00
405 1.76149e+00 1.30970e+00
406 1.82297e+00 1.30968e+00
407 1.71912e+00 1.30965e+00
408 1.75096e+00 1.30962e+00
409 1.82206e+00 1.30958e+00
410 1.87228e+00 1.30952e+00
411 1.75332e+00 1.30949e+00
412 1.82965e+00 1.30945e+00
413 1.89488e+00 1.30942e+00
414 1.80840e+00 1.30939e+00
415 1.81527e+00 1.30935e+00
416 1.80034e+00 1.30932e+00
417 1.78920e+00 1.30926e+00
418 1.72340e+00 1.30923e+00
419 1.90593e+00 1.30921e+00
420 1.81165e+00 1.30917e+00
421 1.86032e+00 1.30912e+00
422 1.79963e+00 1.30909e+00
423 1.77981e+00 1.30906e+00
424 1.85648e+00 1.30904e+00
425 1.70666e+00 1.30901e+00
426 1.81822e+00 1.30899e+00
427 1.82022e+00 1.30894e+00
428 1.78280e+00 1.30891e+00
429 1.81656e+00 1.30888e+00
430 1.72005e+00 1.30885e+00
431 1.89799e+00 1.30881e+00
432 1.89133e+00 1.30877e+00
433 1.84621e+00 1.30873e+00
434 1.80104e+00 1.30869e+00
435 1.77345e+00 1.30867e+00
436 1.76325e+00 1.30864e+00
437 1.73833e+00 1.30861e+00
438 1.80623e+00 1.30857e+00
439 1.91659e+00 1.30853e+00
440 1.72867e+00 1.30849e+00
441 1.82398e+00 1.30845e+00
442 1.81004e+00 1.30842e+00
443 1.71321e+00 1.30841e+00
444 1.81519e+00 1.30837e+00
445 1.80709e+00 1.30832e+00
446 1.85573e+00 1.30826e+00
447 1.85210e+00 1.30824e+00
448 1.76597e+00 1.30822e+00
449 1.89072e+00 1.30819e+00
450 1.85935e+00 1.30815e+00
451 1.83138e+00 1.30810e+00
452 1.87044e+00 1.30807e+00
453 1.85010e+00 1.30804e+00
454 1.68550e+00 1.30800e+00
455 1.78230e+00 1.30798e+00
456 1.82259e+00 1.30797e+00
457 1.85601e+00 1.30794e+00
458 1.90023e+00 1.30791e+00
459 1.71336e+00 1.30791e+00
460 1.83400e+00 1.30788e+00
461 1.83009e+00 1.30786e+00
462 1.72846e+00 1.30782e+00
463 1.75266e+00 1.30782e+00
464 1.78923e+00 1.30778e+00
465 1.91582e+00 1.30776e+00
466 1.75866e+00 1.30775e+00
467 1.71195e+00 1.30772e+00
468 1.77755e+00 1.30769e+00
469 1.81398e+00 1.30768e+00
470 1.83655e+00 1.30766e+00
471 1.75002e+00 1.30765e+00
472 1.87289e+00 1.30760e+00
473 1.77763e+00 1.30758e+00
474 1.81651e+00 1.30756e+00
475 1.79728e+00 1.30753e+00
476 1.84194e+00 1.30752e+00
477 1.77359e+00 1.30750e+00
478 1.85977e+00 1.30746e+00
479 1.83221e+00 1.30743e+00
480 1.76368e+00 1.30740e+00
481 1.78645e+00 1.30736e+00
482 1.78973e+00 1.30734e+00
483 1.74356e+00 1.30731e+00
484 1.84431e+00 1.30727e+00
485 1.73342e+00 1.30725e+00
486 1.77368e+00 1.30720e+00
487 1.78603e+00 1.30718e+00
488 1.81572e+00 1.30716e+00
489 1.86851e+00 1.30713e+00
490 1.77381e+00 1.30713e+00
491 1.76163e+00 1.30711e+00
492 1.79863e+00 1.30710e+00
493 1.83135e+00 1.30705e+00
494 1.78131e+00 1.30703e+00
495 1.76288e+00 1.30701e+00
496 1.89676e+00 1.30696e+00
497 1.77509e+00 1.30694e+00
498 1.87392e+00 1.30691e+00
499 1.77544e+00 1.30688e+00
500 1.82851e+00 1.30684e+00
501 1.86541e+00 1.30683e+00
502 1.85597e+00 1.30680e+00
503 1.84609e+00 1.30678e+00
504 1.76346e+00 1.30675e+00
505 1.82399e+00 1.30671e+00
506 1.76892e+00 1.30669e+00
507 1.71717e+00 1.30668e+00
508 1.76282e+00 1.30666e+00
509 1.80753e+00 1.30664e+00
510 1.87860e+00 1.30663e+00
511 1.86226e+00 1.30660e+00
512 1.77928e+00 1.30658e+00
513 1.78292e+00 1.30655e+00
514 1.78972e+00 1.30653e+00
515 1.80118e+00 1.30650e+00
516 1.77942e+00 1.30650e+00
517 1.81477e+00 1.30647e+00
518 1.77415e+00 1.30645e+00
519 1.69861e+00 1.30644e+00
520 1.64256e+00 1.30641e+00
521 1.86565e+00 1.30639e+00
522 1.82350e+00 1.30637e+00
523 1.70299e+00 1.30636e+00
524 1.79859e+00 1.30634e+00
525 1.78529e+00 1.30631e+00
526 1.77518e+00 1.30629e+00
527 1.77280e+00 1.30627e+00
528 1.74857e+00 1.30625e+00
529 1.74657e+00 1.30624e+00
530 1.78836e+00 1.30622e+00
531 1.73021e+00 1.30622e+00
532 1.82239e+00 1.30620e+00
533 1.80010e+00 1.30619e+00
534 1.73374e+00 1.30618e+00
535 1.79105e+00 1.30616e+00
536 1.85917e+00 1.30615e+00
537 1.78065e+00 1.30611e+00
538 1.86986e+00 1.30609e+00
539 1.87916e+00 1.30606e+00
540 1.78049e+00 1.30605e+00
541 1.81049e+00 1.30604e+00
542 1.72587e+00 1.30601e+00
543 1.74209e+00 1.30598e+00
544 1.68991e+00 1.30596e+00
545 1.85258e+00 1.30594e+00
546 1.74953e+00 1.30592e+00
547 1.75245e+00 1.30590e+00
548 1.85233e+00 1.30588e+00
549 1.77993e+00 1.30587e+00
550 1.74129e+00 1.30585e+00
551 1.79917e+00 1.30582e+00
