training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
414 8.20792e-01 9.37612e-01
415 8.01241e-01 9.44615e-01
416 8.21629e-01 9.39132e-01
417 8.14269e-01 9.35379e-01
418 8.38285e-01 9.34200e-01
419 8.25754e-01 9.48576e-01
420 8.27512e-01 9.43586e-01
421 8.13844e-01 9.30054e-01
422 8.24587e-01 9.32185e-01
423 8.19029e-01 9.31225e-01
424 8.04912e-01 9.30700e-01
425 8.21318e-01 9.30086e-01
426 8.29475e-01 9.29204e-01
427 8.18987e-01 9.37657e-01
428 8.18410e-01 9.29317e-01
429 8.05370e-01 9.36725e-01
430 8.18437e-01 9.37055e-01
431 8.24860e-01 9.36060e-01
432 8.01976e-01 9.39166e-01
433 7.93198e-01 9.41423e-01
434 8.21735e-01 9.37115e-01
435 8.25467e-01 9.38443e-01
436 8.26995e-01 9.45690e-01
437 8.08631e-01 9.37800e-01
438 8.13558e-01 9.34478e-01
439 7.97372e-01 9.37038e-01
440 8.16296e-01 9.36877e-01
441 8.23086e-01 9.35978e-01
442 8.01340e-01 9.38997e-01
443 8.14040e-01 9.33162e-01
444 8.17824e-01 9.41793e-01
445 8.12272e-01 9.32259e-01
446 8.25843e-01 9.25906e-01
447 8.30716e-01 9.30591e-01
448 8.08302e-01 9.46297e-01
449 8.03386e-01 9.35823e-01
450 8.14075e-01 9.23945e-01
451 8.09145e-01 9.26677e-01
452 8.08791e-01 9.33498e-01
453 8.34109e-01 9.28946e-01
454 8.12415e-01 9.30524e-01
455 8.10584e-01 9.32317e-01
456 8.24411e-01 9.34525e-01
457 8.04850e-01 9.33672e-01
458 7.96658e-01 9.37947e-01
459 8.06806e-01 9.39589e-01
460 8.13448e-01 9.49500e-01
461 8.18582e-01 9.32191e-01
462 8.03512e-01 9.37538e-01
463 8.13816e-01 9.29431e-01
464 8.10237e-01 9.29981e-01
465 8.26816e-01 9.25005e-01
466 8.40452e-01 9.41781e-01
467 8.13669e-01 9.22337e-01
468 8.02819e-01 9.29657e-01
469 8.00474e-01 9.45017e-01
470 8.18821e-01 9.37435e-01
471 7.98801e-01 9.35805e-01
472 7.97289e-01 9.31314e-01
473 8.24891e-01 9.28411e-01
474 8.02600e-01 9.34637e-01
475 7.86249e-01 9.41278e-01
476 7.97524e-01 9.41384e-01
477 8.08587e-01 9.48409e-01
478 8.07827e-01 9.28633e-01
479 8.01028e-01 9.42084e-01
480 8.13088e-01 9.23972e-01
481 8.06113e-01 9.34401e-01
482 8.00732e-01 9.42428e-01
483 8.05913e-01 9.33723e-01
484 8.00803e-01 9.34226e-01
485 8.30115e-01 9.26343e-01
486 8.06363e-01 9.34919e-01
487 8.04906e-01 9.31511e-01
488 8.24919e-01 9.38096e-01
489 8.03603e-01 9.47512e-01
490 8.04466e-01 9.37596e-01
491 7.96957e-01 9.31845e-01
492 7.89784e-01 9.22877e-01
493 7.80525e-01 9.27913e-01
494 7.85716e-01 9.31660e-01
495 8.01321e-01 9.30384e-01
496 8.10565e-01 9.24046e-01
497 8.00112e-01 9.18825e-01
498 7.85821e-01 9.33761e-01
499 8.04077e-01 9.19601e-01
500 8.01622e-01 9.21128e-01
501 8.02375e-01 9.37826e-01
502 8.06272e-01 9.34812e-01
503 8.18257e-01 9.39123e-01
504 8.11347e-01 9.35899e-01
505 7.81413e-01 9.39101e-01
506 8.21469e-01 9.37464e-01
507 7.98846e-01 9.43858e-01
508 8.13677e-01 9.31792e-01
509 8.07598e-01 9.22292e-01
510 8.12953e-01 9.32963e-01
511 7.90216e-01 9.20487e-01
512 8.02570e-01 9.26234e-01
513 7.97401e-01 9.22909e-01
514 7.93834e-01 9.31950e-01
515 8.10651e-01 9.26334e-01
516 7.93542e-01 9.34108e-01
517 7.94053e-01 9.40585e-01
518 7.83772e-01 9.34506e-01
519 7.94603e-01 9.35992e-01
520 8.03441e-01 9.24841e-01
521 8.09593e-01 9.22685e-01
522 7.85940e-01 9.27005e-01
523 8.03327e-01 9.39875e-01
524 7.94034e-01 9.33207e-01
525 7.92156e-01 9.37631e-01
526 7.88601e-01 9.27193e-01
527 7.90665e-01 9.29416e-01
528 8.02528e-01 9.32546e-01
529 8.05445e-01 9.20483e-01
530 7.77887e-01 9.33625e-01
531 7.81233e-01 9.31965e-01
532 8.15562e-01 9.23690e-01
533 8.06229e-01 9.26538e-01
534 7.72374e-01 9.32582e-01
535 8.00961e-01 9.27385e-01
536 8.00014e-01 9.33794e-01
537 8.02377e-01 9.29611e-01
538 7.83265e-01 9.21735e-01
539 7.77139e-01 9.30269e-01
540 7.96412e-01 9.36735e-01
541 8.07012e-01 9.25832e-01
542 8.01548e-01 9.28657e-01
543 7.94739e-01 9.38478e-01
544 7.98308e-01 9.24137e-01
545 7.95972e-01 9.36856e-01
546 7.79052e-01 9.32432e-01
547 8.07988e-01 9.29778e-01
548 8.14656e-01 9.35608e-01
549 7.75771e-01 9.43098e-01
550 7.78481e-01 9.37936e-01
551 7.81176e-01 9.29010e-01
552 8.03131e-01 9.30969e-01
553 7.93832e-01 9.25683e-01
554 7.82486e-01 9.27285e-01
555 7.72364e-01 9.40073e-01
556 7.97708e-01 9.23467e-01
557 7.76215e-01 9.27347e-01
558 7.75553e-01 9.30080e-01
559 7.81062e-01 9.30527e-01
560 8.01391e-01 9.29073e-01
561 7.80200e-01 9.27477e-01
562 7.94940e-01 9.28315e-01
563 7.98945e-01 9.27330e-01
564 7.80376e-01 9.35159e-01
565 7.90693e-01 9.31475e-01
566 7.99679e-01 9.30802e-01
567 8.06684e-01 9.29719e-01
568 8.06443e-01 9.19881e-01
569 7.65363e-01 9.15827e-01
570 7.92652e-01 9.20094e-01
571 7.76422e-01 9.30590e-01
572 7.72938e-01 9.26985e-01
573 7.73099e-01 9.31265e-01
574 7.94156e-01 9.33970e-01
575 7.76488e-01 9.20001e-01
576 7.70648e-01 9.39552e-01
577 7.81083e-01 9.24575e-01
578 7.74556e-01 9.21936e-01
579 7.81637e-01 9.22460e-01
580 7.62547e-01 9.21995e-01
581 7.85632e-01 9.31368e-01
582 7.89809e-01 9.23506e-01
583 7.78806e-01 9.27354e-01
584 7.93981e-01 9.31483e-01
585 7.88427e-01 9.16981e-01
586 7.92520e-01 9.37397e-01
587 7.72902e-01 9.16412e-01
588 7.85091e-01 9.30723e-01
589 7.86669e-01 9.39153e-01
590 7.86632e-01 9.34585e-01
591 7.93227e-01 9.41177e-01
592 7.74631e-01 9.28599e-01
593 8.00621e-01 9.32130e-01
594 7.84920e-01 9.23716e-01
595 7.85636e-01 9.17115e-01
596 7.81366e-01 9.24741e-01
597 7.88530e-01 9.26267e-01
598 7.80914e-01 9.28022e-01
599 7.94428e-01 9.32548e-01
600 7.89281e-01 9.21314e-01
601 7.70171e-01 9.28949e-01
602 7.63648e-01 9.12022e-01
603 7.86368e-01 9.18980e-01
604 7.89710e-01 9.30483e-01
605 7.78216e-01 9.27756e-01
606 7.78791e-01 9.18736e-01
607 7.86524e-01 9.22067e-01
608 7.81526e-01 9.24615e-01
609 7.80993e-01 9.14203e-01
610 7.83963e-01 9.07355e-01
611 7.63145e-01 9.25046e-01
612 7.58391e-01 9.17215e-01
613 7.64626e-01 9.34877e-01
614 7.70203e-01 9.39128e-01
615 7.76370e-01 9.21340e-01
616 7.94878e-01 9.12041e-01
617 7.96782e-01 9.19079e-01
618 7.60265e-01 9.27272e-01
619 7.84987e-01 9.19645e-01
620 7.68841e-01 9.22737e-01
621 7.76634e-01 9.21229e-01
622 7.61660e-01 9.21582e-01
623 7.73522e-01 9.27067e-01
624 7.60954e-01 9.27584e-01
625 7.74522e-01 9.27664e-01
626 7.61182e-01 9.29022e-01
627 7.68532e-01 9.26742e-01
628 7.69539e-01 9.29164e-01
629 7.43257e-01 9.31937e-01
630 7.69796e-01 9.37081e-01
631 7.61977e-01 9.25845e-01
632 7.71524e-01 9.24927e-01
633 7.67476e-01 9.23310e-01
634 7.69890e-01 9.27098e-01
635 7.73925e-01 9.18603e-01
636 7.83710e-01 9.30064e-01
637 7.68345e-01 9.17094e-01
638 7.73424e-01 9.22399e-01
639 7.82488e-01 9.29149e-01
640 7.66600e-01 9.33503e-01
641 7.87970e-01 9.30441e-01
642 7.79861e-01 9.30079e-01
643 7.76354e-01 9.35107e-01
644 7.75646e-01 9.25228e-01
645 7.68423e-01 9.29176e-01
646 7.62759e-01 9.36647e-01
647 7.44999e-01 9.36942e-01
648 7.78801e-01 9.38980e-01
649 7.96710e-01 9.35970e-01
650 7.63176e-01 9.31782e-01
651 7.83159e-01 9.27702e-01
652 7.79483e-01 9.31271e-01
